Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
149864,The Wit and Wisdom of Discworld,Terry Pratchett,"Pratchett, Terry",Stephen Briggs,0061370509,9780061370502,0,4,Harper,Hardcover,360,2007,2007,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Fantasy|209;Humor|52;Fiction|41
28887,The Lost Tomb,Kent R. Weeks,"Weeks, Kent R.",,0688172245,9780688172244,0,4.1,Harper Perennial,Paperback,384,1999,1998,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Nonfiction|38;History|34;Northern Africa,Egypt|19;History,Archaeology|14;Archaeology,Egyptology|13"
319016,The Poincaré Conjecture: In Search of the Shape of the Universe,Donal O'Shea,"O'Shea, Donal",,080271532X,9780802715326,0,3.86,Walker Books,Hardcover,304,2007,2007,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science,Mathematics|51;Science|49;Nonfiction|27;History|12;Science,Physics|11"
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,0739467352,9780739467350,0,4.03,W.W. Norton & Company,Paperback,425,2005,1997,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",History|7077;Nonfiction|6287;Science|2188;Anthropology|902;Sociology|447
89281,"Why People Believe Weird Things: Pseudoscience, Superstition, and Other Confusions of Our Time",Michael Shermer,"Shermer, Michael",Stephen Jay Gould,0805070893,9780805070897,0,3.87,Holt Paperbacks,Paperback,384,2002,1997,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science|480;Nonfiction|434;Psychology|230;Philosophy,Skepticism|109;Philosophy|107;Religion|70"
1097229,Nathan der Weise,Gotthold Ephraim Lessing,"Lessing, Gotthold Ephraim",Peter von Düffel,3150000033,9783150000038,0,3.52,Stuttgart: Philipp Reclam jun. Verlag GmbH,Paperback,160,1993,1779,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Classics|315;European Literature,German Literature|134;Plays|103;Academic,School|94;Drama|64;Fiction|59"
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,0465026567,9780465026562,5,4.29,Basic Books,Paperback,777,1999,1979,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science|1642;Nonfiction|1481;Philosophy|1331;Science,Mathematics|475"
1765994,"Shut Up, I'm Talking: And Other Diplomacy Lessons I Learned in the Israeli Government--A Memoir",Gregory Levey,"Levey, Gregory",,1416556133,9781416556138,5,3.77,Free Press,Hardcover,267,2008,2008,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Nonfiction|33;Autobiography,Memoir|11;Cultural,Israel|8;Politics|7;Biography|6"
427065,"The Proof House (Fencer Trilogy, #3)",K.J. Parker,"Parker, K.J.",,1841490180,9781841490182,0,3.65,"Little, Brown Book Group",Mass Market Paperback,602,2003,2000,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Fantasy|103;Fiction|10;Science Fiction Fantasy|3;Science Fiction|3
427066,"The Belly of the Bow (Fencer Trilogy, #2)",K.J. Parker,"Parker, K.J.",,1857239601,9781857239607,0,3.68,Orbit UK,Mass Market Paperback,528,2000,1999,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Fantasy|122;Fiction|9
338404,"Colours in the Steel (Fencer Trilogy, #1)",K.J. Parker,"Parker, K.J.",,1857236106,9781857236101,0,3.79,Orbit UK,Paperback,503,1999,1998,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Fantasy|227;Fiction|21;Fantasy,High Fantasy|8;War|7"
450635,Four Colors Suffice: How the Map Problem Was Solved,Robin J. Wilson,"Wilson, Robin J.",,0691120234,9780691120232,0,3.76,Princeton University Press,Paperback,280,2004,2002,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science,Mathematics|31;Science|17;History|15;Nonfiction|11"
83518,The Singularity is Near: When Humans Transcend Biology,Ray Kurzweil,"Kurzweil, Ray",,0143037889,9780143037880,0,3.94,Penguin,Trade Paperback,652,2006,2005,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science|533;Nonfiction|362;Science,Technology|173;Philosophy|111;Futurism|65"
375802,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott","Stefan Rudnicki, Harlan Ellison",0812550706,9780812550702,3,4.3,Macmillan Audio,Audiobook,324,2004,1985,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01",Science Fiction|14309;Fiction|6797;Young Adult|4380;Fantasy|2589
8648,"Xenocide (Ender's Saga, #3)",Orson Scott Card,"Card, Orson Scott",Piotr W. Cholewa,0312861877,9780312861872,0,3.8,Tor Books,Mass Market Paperback,592,1996,1991,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Science Fiction|3344;Fiction|1206;Fantasy|399;Science Fiction Fantasy|351
7967,"Speaker for the Dead (Ender's Saga, #2)",Orson Scott Card,"Card, Orson Scott",,0812550757,9780812550757,0,4.07,Tor Books,Paperback,382,1994,1986,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Science Fiction|5080;Fiction|1889;Fantasy|605;Science Fiction Fantasy|543
222513,"Once a Hero (The Serrano Legacy, #4)",Elizabeth Moon,"Moon, Elizabeth",,0613926234,9780613926232,4,4.06,Baen Books,Hardcover,400,1997,1997,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|223;Space,Space Opera|57;Fiction|32;War,Military Fiction|30"
284873,"Hunting Party (The Serrano Legacy, #1)",Elizabeth Moon,"Moon, Elizabeth",,1857238818,9781857238815,5,3.87,Baen Books,Paperback,364,1993,1993,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|308;Space,Space Opera|86;Fiction|42;War,Military Fiction|30"
222514,"Sporting Chance (The Serrano Legacy, #2)",Elizabeth Moon,"Moon, Elizabeth",,1857238826,9781857238822,5,3.98,Little Brown and Company,Paperback,383,1999,1994,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|212;Space,Space Opera|60;Fiction|28;Space|23"
96283,"Rules of Engagement (The Serrano Legacy, #5)",Elizabeth Moon,"Moon, Elizabeth",,1857239644,9781857239645,4,4.03,Orbit,Paperback,512,2000,1998,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|179;Space,Space Opera|52;Fiction|26;War,Military Fiction|21"
96285,"Change of Command (The Serrano Legacy, #6)",Elizabeth Moon,"Moon, Elizabeth",,0671319639,9780671319632,4,4,Baen,Paperback,448,2000,1999,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|166;Space,Space Opera|40;Fiction|24"
222502,"Winning Colors (The Serrano Legacy, #3)",Elizabeth Moon,"Moon, Elizabeth",,0671876775,9780671876777,4,3.93,Baen,Paperback,416,1995,1995,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|188;Space,Space Opera|54;Fiction|27;Space|20"
222511,"Against the Odds (The Serrano Legacy, #7)",Elizabeth Moon,"Moon, Elizabeth",,0671318500,9780671318505,4,4.04,Baen,Paperback,544,2001,2000,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|151;Space,Space Opera|41;Fiction|26"
96279,"Marque and Reprisal (Vatta's War, #2)",Elizabeth Moon,"Moon, Elizabeth",,034544759X,9780345447593,5,4.08,Del Rey,Paperback,378,2005,2004,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|419;Space,Space Opera|123;Fiction|57;War,Military Fiction|40;Space|34"
284658,"Trading in Danger (Vatta's War, #1)",Elizabeth Moon,"Moon, Elizabeth",,0345447611,9780345447616,5,3.99,Del Rey,Paperback,357,2004,2003,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|190;Space,Space Opera|72;Space|44"
96277,"Engaging the Enemy (Vatta's War, #3)",Elizabeth Moon,"Moon, Elizabeth",,0345447573,9780345447579,5,4.07,Del Rey,Paperback,398,2007,2006,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|392;Space,Space Opera|111;Fiction|56;War,Military Fiction|41;Space|34"
96276,"Command Decision (Vatta's War, #4)",Elizabeth Moon,"Moon, Elizabeth",,0345491599,9780345491596,5,4.1,Del Rey Books,Hardcover,384,2007,2007,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|372;Space,Space Opera|107;Fiction|53;War,Military Fiction|44"
1305912,"Victory Conditions (Vatta's War, #5)",Elizabeth Moon,"Moon, Elizabeth",,0345491610,9780345491619,5,4.09,Del Rey Books,Hardcover,398,2008,2008,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|348;Space,Space Opera|106;Fiction|45;War,Military Fiction|41"
160057,David and the Phoenix,Edward Ormondroyd,"Ormondroyd, Edward",Joan Raysor,1930900139,9781930900134,0,4.23,Purple House Press,Hardcover,173,2001,1957,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01",Fantasy|55;Fiction|22;Childrens|13;Young Adult|6;Classics|6
13624,The Worm Ouroboros,E.R. Eddison,"Eddison, E.R.",Keith   Henderson,0486447405,9780486447407,4,3.71,Dover Publications,Paperback,446,2006,1922,2008/01/01,2015/08/27,,,read,,,,1,,,0,,,,,,",2008-01-01","Fantasy|774;Fiction|141;Classics|113;Fantasy,High Fantasy|28;Science Fiction Fantasy|26"
25318,"March to the Sea (Empire of Man, #2)",David Weber,"Weber, David",John Ringo,074343580X,9780743435802,3,4.21,Baen,Paperback,672,2002,2001,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|263;Fiction|53;War,Military Fiction|49;Space,Space Opera|37"
25320,"March Upcountry (Empire of Man, #1)",David Weber,"Weber, David",John Ringo,0743435389,9780743435383,3,4.19,Baen,Paperback,608,2002,2001,2008/01/01,2014/05/09,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|345;Fiction|68;War,Military Fiction|61;Space,Space Opera|50"
25317,"March to the Stars (Empire of Man, #3)",David Weber,"Weber, David",John Ringo,0743488180,9780743488181,3,4.2,Baen,Paperback,640,2004,2003,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|249;Fiction|48;War,Military Fiction|40;Space,Space Opera|39"
77747,"We Few (Empire of Man, #4)",David Weber,"Weber, David",John Ringo,1416520848,9781416520849,3,4.2,Baen,Paperback,576,2006,2004,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|223;War,Military Fiction|49;Fiction|42;Space,Space Opera|38"
77733,"Empire From the Ashes (Dahak, #1-3)",David Weber,"Weber, David",,0743435931,9780743435932,0,4.38,Baen Books,Hardcover,774,2003,2003,2008/01/01,2015/08/31,,,read,,,,1,,,0,,,,,,",2008-01-01","Science Fiction|92;Fiction|28;Space,Space Opera|24;War,Military Fiction|16"
